RecievedDate,LossDescription,LossLocation,LloydsClaimReference
2018-12-23 01:37:12.190,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-10-28 01:10:11.313,GAS TURBINE DAMAGE,TBA,06302246J
2017-12-22 01:18:46.930,GAS TURBINE DAMAGE,TBA,06338884Q
2017-12-17 01:13:08.890,BLOCK,NULL,06616420F
2018-01-28 01:21:14.417,WELL LEAKAGE,BOURI FIELD,07085708R
2018-09-26 01:24:59.167,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-06-26 01:18:47.843,MAIN ENGINE DAMAGE,TBA,06338880E
2018-01-24 01:14:10.760,CIDADE DE SAO MATEUS - GAS LEAK.,"CAMARUPIN FIELD, OFFSHORE BRAZIL",06129682G
2018-09-26 01:25:38.963,BLOCK ENTRY,NULL,06595246M
2020-03-10 01:07:37.417,EXTERNAL TURRET MAIN BEARING DAMAGE,TBA,06244734B
2020-01-15 01:07:36.557,GAS TURBINE DAMAGE,TBA,06338884Q
2018-06-03 01:14:03.760,BLOCK,NULL,06616420F
2018-08-21 01:16:27.963,TBA,TBA,06230340T
2018-11-14 01:11:18.557,BLOCK,NULL,06090952Q
2018-02-22 01:19:03.033,CLMNT:HERMAN VERDIN-P AND I EX CREWFEES,USA GOM,06786392C
2017-10-28 01:12:19.387,BLOCKED LEG PILEH,TBA,06873088C
2020-03-24 01:08:31.630,BLOCK,NULL,06090952Q
2017-11-23 10:27:27.787,BLOCK ENTRY,NULL,06891546R
2018-05-06 01:12:09.280,BLOCK,NULL,06090946J
2018-09-15 01:16:23.150,GLC MOTOR FAILURE,TBA,06411632P
2018-06-26 01:18:25.687,TBA,TBA,06230340T
2020-03-27 01:08:52.373,DAMAGE TO GENERATOR NO 3 TANKER NEGRA MATEA,"COAST OF THE CARDON REFINERY, CARDON, PUNTO FIJO.",06149748H
2019-01-30 01:32:11.267,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2018-07-12 07:34:13.333,LOSS OF CONTAINMENT RESULTING IN A LEAK FROM THEVA,"CATS RISER PLATFORM, OFFSHORE UK",06019366P
2019-08-08 01:23:29.020,NECK & SHOULDER INJURY CLMT: BENJAMIN PRIDDY,TEXAS,07915498P
2018-06-26 01:21:16.530,BLOCK ENTRY,NULL,06891548M
2018-09-26 01:24:57.947,GAS TURBINE DAMAGE,TBA,06302246J
2018-03-04 01:29:52.653,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2018-08-26 01:17:22.863,DAMAGE TO MOORING SYSTEM,"60KM SOUTHWEST OF ABIDJAN, IVORY COAST.",06283814B
2018-09-26 01:24:33.980,"FAILIURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLE",TBA,06071746G
2017-09-27 06:42:05.660,GAS TURBINE DAMAGE,TBA,06302246J
2017-09-22 19:22:52.207,"FAILURE OF UPPER SUPPORT CHAIN SECTION, MOORINGLEG",TBA,06057010C
2019-09-17 01:19:17.613,BLOCKED LEG PILEH,TBA,06873088C
2018-12-21 01:20:46.627,BLOCK ENTRY,NULL,06944548A
2018-08-12 01:14:41.670,LEAKAGE AT 18INCH PIPELINE BETWEEN MCR-A AND WDDPA,OFFSHORE TURKMENISTAN,05892148P
2017-09-22 19:23:02.707,MAIN ENGINE DAMAGE,TBA,06338880E
2018-10-21 01:31:15.437,DAMAGE TO LVSR - S TURRETT,TBA,06302250W
2019-06-13 01:10:49.647,TBA,TBA,06230340T
2020-04-21 01:16:04.180,MOORING LINES SEVERED DURING WILD WEATHER CAUSEDBY,"OFFSHORE DAMPIER, AUSTRALIA ( INDIAN OCEAN )",08143560F
2018-12-28 01:12:44.307,BLOCK ENTRY,NULL,07106734T
