,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Property,building,cat,caused,damage,earthquake,entry,exceeding,file,fire,hail,hurricane,insured,irma,limit,n/e,pc,property,roof,s/l,slst,slts,state,storm,threshold,tx,upto,various,water,wef,wind
Accident & Health,accident,claim,claimant,clmnt,clmt,coo,during,entry,eur,exceeding,fee,file,fund,gbp,hand,increasedt,injury,insured,limit,n/e,pain,right,severe,suffered,tba,threshold,traffic,upto,various,wef
Non Marine Liability,alleged,allegedly,alleges,bordereau,cad,claim,claimant,clmnt,clmt,damage,employee,entry,exceeding,fall,fell,file,fire,fors/l,injury,limit,n/e,personal,s/l,suffered,sustained,tba,threshold,upto,various,wef
Offshore Energy,aft,b,compressor,damage,damaged,electic,exchanger,failure,fiesta,file,fire,gas,insured,integrity,leakage,mast,pipeline,pl-192,pl348,plant,platform,pump,ruptured,skarv,thruster,truck,turbine,water,welding,well
Aviation,air,aircraft,al,alleges,b737,back,cargo,claim,claimant,clmt,damage,damaged,during,engine,entry,file,flight,fund,injured,injury,landing,liability,mr,n/e,party,passenger,regn,strike,suffered,various
Specie & Miscellaneous,cargo,case,claim,container,damage,damaged,diamond,entry,eur,exceeding,fire,frozen,gold,insured,missing,mv,n/e,oil,package,ring,robbery,shipment,shortage,stolen,theft,transit,various,warehouse,watch,water
Crisis Management,exhibition,exnsive,exp,expedition-,expense,experienced,expiry,explos,extensive,extensively,extent,extracted,eye,ezequiel,f,f73,fa,facility,factor,fah,fail,failed,failure,fairfax,fairfield,fake,fallclaimant,gunpoint,robbert,zulege
Marine Energy Liability,accident,alleged,arm,auto,claimant,clmt,collision,corrosion,damage,during,employee,entry,exceeding,fatality,fire,foot,injury,kevin,leg,n/e,name,oil,party,property,spill,tp,vehicle,vessel,water,well
International Treaty,backup.claimants,bush,caused,claimant,clmnt-various,clmt,clmt-various,clmt-various.winds,creek,damage,earthquake,east,event,floodevent,meteorological,pc,property,severeweathe,sewer,squali,storm,strong,struck,threshold,townsville,va,various,wef,wildfire.multiple,withocca
Property Treaty SPA,arising,california,camp,cat,caused,claimant-various,clmnt-various,clmt-various,damage,entry,faxai,fire,flood,flooding,florence.clmt-various,hail,hurricane,hurricaneflorence.claimant-var,michael,pc,state,storm,thunderstorm,tornado,townsville,typhoon,various,wildfire,wildland,wind
Marine Hull,afterburner,anchor,barge,bow,collision,contact,coo,damage,damaged,engine,entry,exceeding,explosion,failure,ingres,legend,losses,main,majestic,mt,n/e,port,room,spirit,struck,trader,transom,vessel,viking,water
Rover,-15,allegevariou,anthony,bolt,cl,clmnt,clmnt-obility,clmt,corporation,einaudi,entry,exceeding,fatal,gjura,injurieswhe,injury,jamal,jane,litigation,lopez,mass,massiel,matias,mira,personal,resul,suffered,sullivan,sustained,william
